Number #1;Formatted #1;Number #2;Formatted #2
"1203225001";"12-0322-5001";"1203224001";"12-0322-4001";
"1203225012";"12-0322-5012";"1203224012";"12-0322-4012";
"1203225023";"12-0322-5023";"1203224023";"12-0322-4023";
"1203225034";"12-0322-5034";"1203224034";"12-0322-4034";
"1203225045";"12-0322-5045";"1203224045";"12-0322-4045";
"1203225056";"12-0322-5056";"1203224056";"12-0322-4056";
"1203225067";"12-0322-5067";"1203224067";"12-0322-4067";
"1203225078";"12-0322-5078";"1203224078";"12-0322-4078";
"1203225089";"12-0322-5089";"1203224089";"12-0322-4089";
"1203225100";"12-0322-5100";"1203224100";"12-0322-4100";
"1203225111";"12-0322-5111";"1203224111";"12-0322-4111";
"1203225122";"12-0322-5122";"1203224122";"12-0322-4122";
"1203225133";"12-0322-5133";"1203224133";"12-0322-4133";
"1203225144";"12-0322-5144";"1203224144";"12-0322-4144";
"1203225155";"12-0322-5155";"1203224155";"12-0322-4155";
"1203225166";"12-0322-5166";"1203224166";"12-0322-4166";
"1203225177";"12-0322-5177";"1203224177";"12-0322-4177";
"1203225188";"12-0322-5188";"1203224188";"12-0322-4188";
"1203225199";"12-0322-5199";"1203224199";"12-0322-4199";
"1203225210";"12-0322-5210";"1203224210";"12-0322-4210";
"1203225221";"12-0322-5221";"1203224221";"12-0322-4221";
"1203225232";"12-0322-5232";"1203224232";"12-0322-4232";
"1203225243";"12-0322-5243";"1203224243";"12-0322-4243";
"1203225254";"12-0322-5254";"1203224254";"12-0322-4254";
"1203225265";"12-0322-5265";"1203224265";"12-0322-4265";
"1203225276";"12-0322-5276";"1203224276";"12-0322-4276";
"1203225287";"12-0322-5287";"1203224287";"12-0322-4287";
"1203225298";"12-0322-5298";"1203224298";"12-0322-4298";
"1203225309";"12-0322-5309";"1203224309";"12-0322-4309";
"1203225320";"12-0322-5320";"1203224320";"12-0322-4320";
"1203225331";"12-0322-5331";"1203224331";"12-0322-4331";
"1203225342";"12-0322-5342";"1203224342";"12-0322-4342";
"1203225353";"12-0322-5353";"1203224353";"12-0322-4353";
"1203225364";"12-0322-5364";"1203224364";"12-0322-4364";
"1203225375";"12-0322-5375";"1203224375";"12-0322-4375";
"1203225386";"12-0322-5386";"1203224386";"12-0322-4386";
"1203225397";"12-0322-5397";"1203224397";"12-0322-4397";
"1203225408";"12-0322-5408";"1203224408";"12-0322-4408";
"1203225419";"12-0322-5419";"1203224419";"12-0322-4419";
"1203225430";"12-0322-5430";"1203224430";"12-0322-4430";
"1203225441";"12-0322-5441";"1203224441";"12-0322-4441";
"1203225452";"12-0322-5452";"1203224452";"12-0322-4452";
"1203225463";"12-0322-5463";"1203224463";"12-0322-4463";
"1203225474";"12-0322-5474";"1203224474";"12-0322-4474";
"1203225485";"12-0322-5485";"1203224485";"12-0322-4485";
"1203225496";"12-0322-5496";"1203224496";"12-0322-4496";
"1203225507";"12-0322-5507";"1203224507";"12-0322-4507";
"1203225518";"12-0322-5518";"1203224518";"12-0322-4518";
"1203225529";"12-0322-5529";"1203224529";"12-0322-4529";
"1203225540";"12-0322-5540";"1203224540";"12-0322-4540";
"1203225551";"12-0322-5551";"1203224551";"12-0322-4551";
"1203225562";"12-0322-5562";"1203224562";"12-0322-4562";
"1203225573";"12-0322-5573";"1203224573";"12-0322-4573";
"1203225584";"12-0322-5584";"1203224584";"12-0322-4584";
"1203225595";"12-0322-5595";"1203224595";"12-0322-4595";
"1203225606";"12-0322-5606";"1203224606";"12-0322-4606";
